gold\pred,Clarify,Evaluate,Finalize,Ideate,NONE
NONE,0,0,0,0,0
Clarify,26,3,0,2,0
Evaluate,1,67,6,10,0
Finalize,0,3,103,19,0
Ideate,9,70,1,368,0
