gold\pred,Clarify,Evaluate,Finalize,Ideate,NONE
NONE,0,0,0,0,0
Clarify,22,27,0,3,0
Evaluate,0,72,2,4,0
Finalize,3,3,8,1,0
Ideate,0,94,0,32,0
