gold\pred,Clarify,Evaluate,Finalize,Ideate,NONE
NONE,0,0,0,0,0
Clarify,7,13,0,3,0
Evaluate,1,40,0,1,0
Finalize,0,12,6,1,0
Ideate,3,64,0,20,0
