gold\pred,Clarify,Evaluate,Finalize,Ideate,NONE
NONE,0,0,0,0,0
Clarify,55,43,0,8,0
Evaluate,2,179,8,15,0
Finalize,3,18,117,21,0
Ideate,12,228,1,420,0
